TYPE_VEHICULE,Gravite,Configuration,Aspect route,count
SANS_CAMION,Grave ou Mortel,plus d’une voie par direction,"Droit, en haut de la pente",16
SANS_CAMION,Grave ou Mortel,plus d’une voie par direction,"Droit, dans la pente",25
SANS_CAMION,Grave ou Mortel,plus d’une voie par direction,"Droit, en bas de la pente (creux)",8
SANS_CAMION,Grave ou Mortel,plus d’une voie par direction,"Courbe, plat",16
SANS_CAMION,Grave ou Mortel,plus d’une voie par direction,"Courbe, dans la pente",2
SANS_CAMION,Grave ou Mortel,plus d’une voie par direction,"Courbe, en bas de la pente (creux)",1
SANS_CAMION,Grave ou Mortel,Séparée par aménagement franchissable,"Droit, plat",80
SANS_CAMION,Grave ou Mortel,Séparée par aménagement franchissable,"Droit, en haut de la pente",3
SANS_CAMION,Grave ou Mortel,Séparée par aménagement franchissable,"Droit, dans la pente",2
SANS_CAMION,Grave ou Mortel,Séparée par aménagement franchissable,"Droit, en bas de la pente (creux)",1
SANS_CAMION,Grave ou Mortel,Séparée par aménagement franchissable,"Courbe, plat",2
SANS_CAMION,Grave ou Mortel,Séparée par aménagement franchissable,"Courbe, dans la pente",1
SANS_CAMION,Grave ou Mortel,Séparée par aménagement franchissable,"Courbe, en bas de la pente (creux)",1
SANS_CAMION,Grave ou Mortel,Séparée par aménagement infranchissable,"Droit, plat",104
SANS_CAMION,Grave ou Mortel,Séparée par aménagement infranchissable,"Droit, en haut de la pente",2
SANS_CAMION,Grave ou Mortel,Séparée par aménagement infranchissable,"Droit, dans la pente",5
SANS_CAMION,Grave ou Mortel,Séparée par aménagement infranchissable,"Droit, en bas de la pente (creux)",3
SANS_CAMION,Grave ou Mortel,Séparée par aménagement infranchissable,"Courbe, plat",1
SANS_CAMION,Grave ou Mortel,Séparée par aménagement infranchissable,"Courbe, dans la pente",1
SANS_CAMION,Grave ou Mortel,Autre,"Droit, plat",44
SANS_CAMION,Grave ou Mortel,Autre,"Droit, en haut de la pente",1
SANS_CAMION,Grave ou Mortel,Autre,"Droit, dans la pente",6
SANS_CAMION,Grave ou Mortel,Autre,"Droit, en bas de la pente (creux)",2
SANS_CAMION,Grave ou Mortel,Autre,"Courbe, en bas de la pente (creux)",1
SANS_CAMION,Dommage matériel ou Léger,Sens unique,"Droit, plat",37453
SANS_CAMION,Dommage matériel ou Léger,Sens unique,"Droit, en haut de la pente",771
SANS_CAMION,Dommage matériel ou Léger,Sens unique,"Droit, dans la pente",2395
SANS_CAMION,Dommage matériel ou Léger,Sens unique,"Droit, en bas de la pente (creux)",591
SANS_CAMION,Dommage matériel ou Léger,Sens unique,"Courbe, plat",1188
SANS_CAMION,Dommage matériel ou Léger,Sens unique,"Courbe, en haut de la pente",177
SANS_CAMION,Dommage matériel ou Léger,Sens unique,"Courbe, dans la pente",321
SANS_CAMION,Dommage matériel ou Léger,Sens unique,"Courbe, en bas de la pente (creux)",123
SANS_CAMION,Dommage matériel ou Léger,une voie par direction,"Droit, plat",43694
SANS_CAMION,Dommage matériel ou Léger,une voie par direction,"Droit, en haut de la pente",504
SANS_CAMION,Dommage matériel ou Léger,une voie par direction,"Droit, dans la pente",1366
SANS_CAMION,Dommage matériel ou Léger,une voie par direction,"Droit, en bas de la pente (creux)",383
SANS_CAMION,Dommage matériel ou Léger,une voie par direction,"Courbe, plat",1025
SANS_CAMION,Dommage matériel ou Léger,une voie par direction,"Courbe, en haut de la pente",62
SANS_CAMION,Dommage matériel ou Léger,une voie par direction,"Courbe, dans la pente",132
SANS_CAMION,Dommage matériel ou Léger,une voie par direction,"Courbe, en bas de la pente (creux)",44
SANS_CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Droit, plat",43506
SANS_CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Droit, en haut de la pente",801
SANS_CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Droit, dans la pente",1439
SANS_CAMION,Dommage matériel ou Léger,plus d’une voie par direction,"Droit, en bas de la pente (creux)",599
