Date,Nombres
2012-01-02,1.0
2012-01-03,4.5
2012-01-04,5.0
2012-01-05,4.25
2012-01-06,4.0
2012-01-07,4.0
2012-01-08,3.5714285714285716
2012-01-09,4.428571428571429
2012-01-10,3.5714285714285716
2012-01-11,4.142857142857143
2012-01-12,4.857142857142857
2012-01-13,6.571428571428571
2012-01-14,6.714285714285714
2012-01-15,6.714285714285714
2012-01-16,7.714285714285714
2012-01-17,8.571428571428571
2012-01-18,8.857142857142858
2012-01-19,9.571428571428571
2012-01-20,8.857142857142858
2012-01-21,8.571428571428571
2012-01-23,9.428571428571429
2012-01-24,8.142857142857142
2012-01-25,7.571428571428571
2012-01-26,6.857142857142857
2012-01-27,6.857142857142857
2012-01-28,6.0
2012-01-29,5.714285714285714
2012-01-30,5.571428571428571
2012-01-31,6.428571428571429
2012-02-01,6.857142857142857
2012-02-02,7.142857142857143
2012-02-03,6.714285714285714
2012-02-04,6.714285714285714
2012-02-06,7.285714285714286
2012-02-07,7.857142857142857
2012-02-08,7.857142857142857
2012-02-09,7.571428571428571
2012-02-10,6.857142857142857
2012-02-11,6.142857142857143
2012-02-12,5.714285714285714
2012-02-13,5.714285714285714
2012-02-14,5.285714285714286
2012-02-15,5.142857142857143
2012-02-16,5.0
2012-02-17,5.0
2012-02-20,4.714285714285714
2012-02-21,5.714285714285714
2012-02-22,6.0
2012-02-23,5.571428571428571
2012-02-24,6.0
2012-02-25,5.857142857142857
2012-02-26,5.857142857142857
2012-02-27,7.285714285714286
2012-02-28,7.571428571428571
2012-02-29,7.857142857142857
2012-03-01,8.428571428571429
2012-03-02,8.0
2012-03-03,8.714285714285714
2012-03-04,8.571428571428571
2012-03-05,7.714285714285714
2012-03-06,7.571428571428571
2012-03-07,7.285714285714286
2012-03-08,7.428571428571429
2012-03-09,6.714285714285714
2012-03-10,5.714285714285714
2012-03-12,6.428571428571429
2012-03-13,6.285714285714286
2012-03-14,5.571428571428571
2012-03-15,4.857142857142857
2012-03-16,5.0
2012-03-17,4.428571428571429
2012-03-18,4.571428571428571
2012-03-19,4.857142857142857
2012-03-20,4.714285714285714
2012-03-21,5.714285714285714
2012-03-22,6.142857142857143
2012-03-23,6.285714285714286
2012-03-24,6.571428571428571
2012-03-25,6.428571428571429
2012-03-26,5.571428571428571
2012-03-27,5.714285714285714
2012-03-28,5.142857142857143
2012-03-29,5.142857142857143
2012-03-30,4.285714285714286
2012-03-31,4.428571428571429
2012-04-01,4.714285714285714
2012-04-02,5.428571428571429
2012-04-03,5.857142857142857
2012-04-04,5.428571428571429
2012-04-05,6.0
2012-04-06,5.857142857142857
2012-04-07,5.571428571428571
2012-04-09,5.428571428571429
2012-04-10,4.428571428571429
2012-04-11,3.857142857142857
2012-04-12,4.0
2012-04-13,3.2857142857142856
2012-04-14,3.142857142857143
2012-04-16,3.857142857142857
2012-04-17,3.857142857142857
2012-04-18,4.285714285714286
2012-04-19,4.428571428571429
2012-04-20,4.857142857142857
2012-04-21,4.571428571428571
2012-04-22,4.285714285714286
2012-04-23,3.7142857142857144
2012-04-24,4.285714285714286
2012-04-25,4.428571428571429
2012-04-26,5.0
2012-04-27,5.142857142857143
2012-04-28,5.285714285714286
2012-04-29,5.285714285714286
2012-04-30,6.285714285714286
2012-05-01,6.428571428571429
2012-05-02,6.0
2012-05-03,5.0
2012-05-04,4.428571428571429
2012-05-05,4.285714285714286
2012-05-06,4.428571428571429
2012-05-07,4.285714285714286
2012-05-08,4.428571428571429
2012-05-09,5.142857142857143
2012-05-10,5.857142857142857
2012-05-11,5.714285714285714
2012-05-12,5.714285714285714
2012-05-13,5.714285714285714
2012-05-14,5.714285714285714
2012-05-15,6.0
2012-05-16,5.142857142857143
2012-05-17,5.0
2012-05-18,5.285714285714286
2012-05-20,5.285714285714286
2012-05-21,5.285714285714286
2012-05-22,5.714285714285714
2012-05-23,5.428571428571429
2012-05-24,6.714285714285714
2012-05-25,7.285714285714286
2012-05-26,7.0
2012-05-28,7.428571428571429
2012-05-29,8.285714285714286
2012-05-30,8.142857142857142
2012-05-31,8.285714285714286
2012-06-01,8.0
2012-06-02,7.142857142857143
2012-06-04,7.714285714285714
2012-06-05,8.571428571428571
2012-06-06,8.285714285714286
2012-06-07,8.0
2012-06-08,7.714285714285714
2012-06-09,7.0
2012-06-10,6.714285714285714
2012-06-11,7.0
2012-06-12,6.285714285714286
2012-06-13,6.142857142857143
2012-06-14,6.714285714285714
2012-06-15,6.428571428571429
2012-06-16,6.428571428571429
2012-06-17,6.285714285714286
2012-06-18,5.714285714285714
2012-06-19,6.285714285714286
2012-06-20,7.285714285714286
2012-06-21,7.285714285714286
2012-06-22,7.714285714285714
2012-06-23,8.142857142857142
2012-06-24,8.285714285714286
2012-06-25,7.714285714285714
2012-06-26,8.0
2012-06-27,7.857142857142857
2012-06-28,7.714285714285714
2012-06-29,8.142857142857142
2012-06-30,7.428571428571429
2012-07-01,7.714285714285714
2012-07-02,7.857142857142857
2012-07-03,7.428571428571429
2012-07-04,7.285714285714286
2012-07-05,6.571428571428571
2012-07-06,6.857142857142857
2012-07-07,6.857142857142857
2012-07-08,6.428571428571429
2012-07-09,6.857142857142857
2012-07-10,7.714285714285714
2012-07-11,7.142857142857143
2012-07-12,7.571428571428571
2012-07-13,6.285714285714286
2012-07-14,6.142857142857143
2012-07-16,6.857142857142857
2012-07-17,6.714285714285714
2012-07-18,6.428571428571429
2012-07-19,6.714285714285714
2012-07-20,6.0
2012-07-21,5.714285714285714
2012-07-23,6.571428571428571
2012-07-24,7.0
