Gravite,Meteo,Etat Surface,Etat Chaussee,Eclairage,count
Dommage matériel ou Léger,Clair,Boueuse,En bon état,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Boueuse,En construction/en réparation,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Boueuse,Dénivellation,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Boueuse,Autre,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Autre,En bon état,Jour et demi-obscurité,1
Dommage matériel ou Léger,Clair,Autre,Dénivellation,Jour et demi-obscurité,1
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,En bon état,Jour et demi-obscurité,188
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,En bon état,Jour et demi-obscurité,7
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,En bon état,Nuit et chemin éclairé,18
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,En construction/en réparation,Jour et demi-obscurité,2
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,Ornières/affaissement,Jour et demi-obscurité,1
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,Trous/nids-de-poule/cahots,Jour et demi-obscurité,5
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,Trous/nids-de-poule/cahots,Nuit et chemin éclairé,1
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,Dénivellation,Nuit et chemin éclairé,1
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,Autre,Jour et demi-obscurité,2
Dommage matériel ou Léger,Couvert (nuageux/sombre),Sèche,Autre,Nuit et chemin éclairé,1
Dommage matériel ou Léger,Couvert (nuageux/sombre),Mouillée,En bon état,Jour et demi-obscurité,66
Dommage matériel ou Léger,Couvert (nuageux/sombre),Mouillée,En bon état,Jour et demi-obscurité,10
Dommage matériel ou Léger,Couvert (nuageux/sombre),Mouillée,En bon état,Nuit et chemin éclairé,17
Dommage matériel ou Léger,Couvert (nuageux/sombre),Mouillée,Autre,Jour et demi-obscurité,1
Dommage matériel ou Léger,Couvert (nuageux/sombre),Accumulation d’eau (aquaplanage),En bon état,Nuit et chemin éclairé,1
Dommage matériel ou Léger,Couvert (nuageux/sombre),"Sable, gravier sur la chaussée",En bon état,Jour et demi-obscurité,1
